airline.name,departure.airport,arrival.airport,day_of_week,month,departure_hour,scheduled_duration,is_delayed
67,451,151,3,4,14,130.0,0
19,451,151,3,4,14,130.0,0
181,451,151,3,4,14,130.0,0
115,419,159,3,4,15,75.0,0
105,319,298,3,4,15,55.0,0
208,190,57,3,4,8,34.0,0
105,319,123,3,4,14,40.0,0
227,119,83,3,4,8,75.0,0
123,279,251,3,4,15,105.0,0
123,22,251,3,4,15,105.0,0
123,215,251,3,4,14,95.0,0
167,130,344,3,4,16,70.0,0
116,161,148,3,4,14,85.0,0
181,73,318,3,4,11,185.0,0
208,35,203,3,4,7,25.0,0
47,35,203,3,4,7,25.0,0
224,35,203,3,4,7,25.0,0
48,35,203,3,4,7,25.0,0
17,35,203,3,4,7,25.0,0
4,74,150,3,4,14,70.0,0
211,113,47,3,4,12,60.0,0
61,103,96,3,4,13,85.0,0
168,70,132,3,4,8,25.0,0
146,70,132,3,4,8,25.0,0
39,70,132,3,4,8,25.0,0
208,141,32,3,4,8,110.0,0
208,439,281,3,4,8,79.0,0
208,439,68,3,4,8,166.0,0
208,439,193,3,4,8,86.0,0
208,439,201,3,4,8,105.0,0
208,439,346,3,4,8,89.0,0
167,353,215,3,4,15,55.0,0
167,255,37,3,4,17,90.0,0
208,314,57,3,4,7,119.0,0
68,73,386,3,4,12,160.0,0
102,73,386,3,4,12,160.0,0
181,450,126,3,4,15,85.0,0
203,450,126,3,4,15,85.0,0
67,450,126,3,4,15,85.0,0
19,450,126,3,4,15,85.0,0
68,450,317,3,4,15,120.0,0
102,450,317,3,4,15,120.0,0
182,450,317,3,4,15,120.0,0
66,450,317,3,4,15,120.0,0
127,450,317,3,4,15,120.0,0
67,450,317,3,4,15,120.0,0
96,465,313,3,4,9,95.0,0
77,465,313,3,4,9,95.0,0
8,465,313,3,4,9,95.0,0
182,401,120,3,4,12,235.0,1
52,94,185,3,4,12,230.0,0
208,166,57,3,4,8,81.0,0
208,125,305,3,4,7,129.0,0
182,80,358,3,4,14,95.0,0
169,73,358,3,4,14,115.0,0
66,73,358,3,4,14,115.0,0
222,73,358,3,4,14,115.0,0
67,73,358,3,4,14,115.0,0
64,73,358,3,4,14,115.0,0
68,73,358,3,4,14,115.0,0
208,349,57,3,4,8,92.0,0
54,121,25,3,4,8,85.0,0
149,121,25,3,4,8,85.0,0
217,121,25,3,4,8,85.0,0
168,121,25,3,4,8,85.0,0
116,121,25,3,4,8,85.0,0
224,121,25,3,4,8,85.0,0
39,121,25,3,4,8,85.0,0
208,121,97,3,4,8,130.0,0
183,121,97,3,4,8,130.0,0
34,121,97,3,4,8,130.0,0
17,121,97,3,4,8,130.0,0
149,121,25,3,4,8,85.0,0
217,121,25,3,4,8,85.0,0
168,121,25,3,4,8,85.0,0
59,121,25,3,4,8,85.0,0
89,121,25,3,4,8,85.0,0
224,121,25,3,4,8,85.0,0
173,121,25,3,4,8,85.0,0
208,121,98,3,4,7,125.0,0
183,121,98,3,4,7,125.0,0
227,418,374,3,4,16,82.0,0
208,325,57,3,4,8,87.0,0
